,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
178007,Rodolfo Orlando Orlandini,M,23.0,Argentina,1928 Summer,1928,Summer,Football,2
178033,Nikolay Orlov,M,,Russia,1908 Summer,1908,Summer,Wrestling,2
178034,Vladimir Aleksandrovich Orlov,M,25.0,Soviet Union,1964 Winter,1964,Winter,Speed Skating,2
178041,Agafia Orlov-Buhaev-Constantin,F,29.0,Romania,1984 Summer,1984,Summer,Canoeing,3
178056,Bernard Pawe Ormanowski,M,20.0,Poland,1928 Summer,1928,Summer,Rowing,1
178057,Luis Patricio Ormazbal Mozo,M,21.0,Chile,2000 Summer,2000,Summer,Football,1
178063,Mark Sebastian Clive Ormrod,M,21.0,Australia,2004 Summer,2004,Summer,Athletics,2
178070,Mikael Gustaf rn,M,22.0,Sweden,1984 Summer,1984,Summer,Swimming,1
178080,Bror Karl Stefan rnskog,M,24.0,Sweden,1994 Winter,1994,Winter,Ice Hockey,3
178090,"Corneliu ""Cornel"" Oros",M,30.0,Romania,1980 Summer,1980,Summer,Volleyball,1
178091,Rozalia Oros (-Husti/-Huszti),F,20.0,Romania,1984 Summer,1984,Summer,Fencing,2
178098,Pl Orosz,M,26.0,Hungary,1960 Summer,1960,Summer,Football,1
178102,Alejandra Orozco Loza,F,15.0,Mexico,2012 Summer,2012,Summer,Diving,2
178122,Richard Brooks Orpik,M,29.0,United States,2010 Winter,2010,Winter,Ice Hockey,2
178133,"Victoria Elaine ""Vickie"" Orr (-Wiley)",F,25.0,United States,1992 Summer,1992,Summer,Basketball,1
178148,Brian Ernest Orser,M,22.0,Canada,1984 Winter,1984,Winter,Figure Skating,2
178149,Brian Ernest Orser,M,26.0,Canada,1988 Winter,1988,Winter,Figure Skating,2
178153,Raimundo Bibiani Orsi,M,26.0,Argentina,1928 Summer,1928,Summer,Football,2
178164,Antonio Carlos Ortega Prez,M,29.0,Spain,2000 Summer,2000,Summer,Handball,1
178166,Ariel Arnaldo Ortega,M,22.0,Argentina,1996 Summer,1996,Summer,Football,2
178179,Orlando Ortega Alejo,M,25.0,Spain,2016 Summer,2016,Summer,Athletics,2
178190,Ruben Julius Israel rtegren,M,30.0,Sweden,1912 Summer,1912,Summer,Shooting,2
178197,"William Robert ""Bill"" Orthwein",M,22.0,Missouri Athletic Club-3,1904 Summer,1904,Summer,Water Polo,1
178198,"William Robert ""Bill"" Orthwein",M,22.0,Missouri Athletic Club-3,1904 Summer,1904,Summer,Swimming,1
178222,Fidel Ortz Tovar,M,27.0,Mexico,1936 Summer,1936,Summer,Boxing,1
178224,Idalys Ortz Bocourt,F,18.0,Cuba,2008 Summer,2008,Summer,Judo,1
178225,Idalys Ortz Bocourt,F,22.0,Cuba,2012 Summer,2012,Summer,Judo,3
178226,Idalys Ortz Bocourt,F,26.0,Cuba,2016 Summer,2016,Summer,Judo,2
178227,Ignacio Ortz,M,29.0,Argentina,2016 Summer,2016,Summer,Hockey,3
178244,Luis Ortz Flores,M,18.0,Puerto Rico,1984 Summer,1984,Summer,Boxing,2
178259,"Matilde ""Mati"" Ortz Reyes",F,21.0,Spain,2012 Summer,2012,Summer,Water Polo,2
178278,Tania Ortz Calvo,F,26.0,Cuba,1992 Summer,1992,Summer,Volleyball,3
178280,Tatiana Ortz Galicia,F,24.0,Mexico,2008 Summer,2008,Summer,Diving,1
178283,Yaima Ortz Charro,F,22.0,Cuba,2004 Summer,2004,Summer,Volleyball,1
178291,Patrick Ortlieb,M,24.0,Austria,1992 Winter,1992,Winter,Alpine Skiing,3
