,Name,Sex,Age,Team,Games,Year,Season,Sport,Medal
5825,Simona Amnar (-Tabr),F,16.0,Romania,1996 Summer,1996,Summer,Gymnastics,2
5826,Simona Amnar (-Tabr),F,16.0,Romania,1996 Summer,1996,Summer,Gymnastics,3
5829,Simona Amnar (-Tabr),F,20.0,Romania,2000 Summer,2000,Summer,Gymnastics,3
5830,Simona Amnar (-Tabr),F,20.0,Romania,2000 Summer,2000,Summer,Gymnastics,3
5831,Simona Amnar (-Tabr),F,20.0,Romania,2000 Summer,2000,Summer,Gymnastics,1
5838,Frank Amankwah,M,20.0,Ghana,1992 Summer,1992,Summer,Football,1
5844,Max Amann,M,23.0,Germany,1928 Summer,1928,Summer,Water Polo,3
5852,Ingrda Amantova,F,19.0,Soviet Union,1980 Winter,1980,Winter,Luge,1
5860,"Alexandre ""Amaral"" da Silva Mariano",M,23.0,Brazil,1996 Summer,1996,Summer,Football,1
5870,Catello Amarante,M,24.0,Italy,2004 Summer,2004,Summer,Rowing,1
5882,Prince Amartey,M,28.0,Ghana,1972 Summer,1972,Summer,Boxing,1
5887,Jaime Santiago Amat Durn,M,26.0,Spain,1996 Summer,1996,Summer,Hockey,2
5898,Jean-Pierre Bernard Andr Amat,M,34.0,France,1996 Summer,1996,Summer,Shooting,1
5899,Jean-Pierre Bernard Andr Amat,M,34.0,France,1996 Summer,1996,Summer,Shooting,3
5906,Juan Amat Fontanals,M,34.0,Spain,1980 Summer,1980,Summer,Hockey,2
5907,Pedro Amat Fontanals,M,20.0,Spain,1960 Summer,1960,Summer,Hockey,1
5910,"Pablo ""Pol"" Amat Escud",M,18.0,Spain,1996 Summer,1996,Summer,Hockey,2
5913,"Pablo ""Pol"" Amat Escud",M,30.0,Spain,2008 Summer,2008,Summer,Hockey,2
5918,Santiago Amat Cansino,M,45.0,Spain,1932 Summer,1932,Summer,Sailing,1
5925,Serena Bibiana Amato,F,26.0,Argentina,2000 Summer,2000,Summer,Sailing,1
5928,Amauri Ribeiro,M,25.0,Brazil,1984 Summer,1984,Summer,Volleyball,2
5930,Amauri Ribeiro,M,33.0,Brazil,1992 Summer,1992,Summer,Volleyball,3
5932,Amaury Antnio Pasos,M,24.0,Brazil,1960 Summer,1960,Summer,Basketball,1
5933,Amaury Antnio Pasos,M,28.0,Brazil,1964 Summer,1964,Summer,Basketball,1
5934,Jos Emilio Amavisca Grate,M,21.0,Spain,1992 Summer,1992,Summer,Football,3
5937,Ivn Amaya Carazo,M,22.0,Spain,2000 Summer,2000,Summer,Football,2
5976,Amedeo Ambron,M,21.0,Italy,1960 Summer,1960,Summer,Water Polo,3
5986,"Efetobore ""Efe"" Ambrose Emuobo",M,19.0,Nigeria,2008 Summer,2008,Summer,Football,2
5987,Bianca Ambrosetti,F,14.0,Italy,1928 Summer,1928,Summer,Gymnastics,2
5988,Christie Ambrosi,F,23.0,United States,2000 Summer,2000,Summer,Softball,3
5992,Ernesto Ambrosini,M,25.0,Italy,1920 Summer,1920,Summer,Athletics,1
6014,Mikls Ambrus,M,31.0,Hungary,1964 Summer,1964,Summer,Water Polo,3
6041,Karl-Robert Ameln,M,28.0,Ali-Baba II,1948 Summer,1948,Summer,Sailing,1
6043,Rolf-Dieter Amend,M,23.0,East Germany-1,1972 Summer,1972,Summer,Canoeing,3
6106,Sbastien Amiez,M,29.0,France,2002 Winter,2002,Winter,Alpine Skiing,2
6136,Slava Lvovich Amiragov,M,26.0,Soviet Union,1952 Summer,1952,Summer,Rowing,2
6151,Salvatore Amitrano,M,28.0,Italy,2004 Summer,2004,Summer,Rowing,1
6157,"Joseph Brian ""Joe"" Amlong",M,27.0,United States,1964 Summer,1964,Summer,Rowing,3
6158,"Thomas Kennedy ""Tom"" Amlong",M,29.0,United States,1964 Summer,1964,Summer,Rowing,3
6172,Simon Ammann,M,20.0,Switzerland,2002 Winter,2002,Winter,Ski Jumping,3
6173,Simon Ammann,M,20.0,Switzerland,2002 Winter,2002,Winter,Ski Jumping,3
6178,Simon Ammann,M,28.0,Switzerland,2010 Winter,2010,Winter,Ski Jumping,3
6179,Simon Ammann,M,28.0,Switzerland,2010 Winter,2010,Winter,Ski Jumping,3
6190,Max Heinrich Ammermann,M,21.0,Favorite Hammonia-3,1900 Summer,1900,Summer,Rowing,1
6192,Otto Ammermann,M,43.0,West Germany,1976 Summer,1976,Summer,Equestrianism,2
6206,Daniel Owofin Amokachi,M,23.0,Nigeria,1996 Summer,1996,Summer,Football,3
6214,"Anthony Lewis ""Tony"" Amonte",M,31.0,United States,2002 Winter,2002,Winter,Ice Hockey,2
6217,Edward John Amoore,M,31.0,Great Britain,1908 Summer,1908,Summer,Shooting,3
6218,Edward John Amoore,M,31.0,Great Britain,1908 Summer,1908,Summer,Shooting,1
6220,"Judith Florence ""Judy"" Amoore-Pollock",F,24.0,Australia,1964 Summer,1964,Summer,Athletics,1
6248,Vanessa Amors Quiles,F,29.0,Spain,2012 Summer,2012,Summer,Handball,1
6260,Nijel Carlos Amilfitano Amos,M,18.0,Botswana,2012 Summer,2012,Summer,Athletics,2
6266,Zinaida Stepanovna Amosova (Shishkina-),F,26.0,Soviet Union,1976 Winter,1976,Winter,Cross Country Skiing,3
6268,Gustave Joseph Amoudruz,M,35.0,Switzerland,1920 Summer,1920,Summer,Shooting,1
6271,Gustave Joseph Amoudruz,M,35.0,Switzerland,1920 Summer,1920,Summer,Shooting,1
6275,Roman Amoyan,M,24.0,Armenia,2008 Summer,2008,Summer,Wrestling,1
6280,Edgar Montague Amphlett,M,40.0,Great Britain,1908 Summer,1908,Summer,Fencing,2
6286,Uwe Ampler,M,24.0,East Germany,1988 Summer,1988,Summer,Cycling,3
6301,Franz Albert Amrhein,M,29.0,Frankfurt Club,1900 Summer,1900,Summer,Rugby,2
6304,Marwa Al-Amri,F,27.0,Tunisia,2016 Summer,2016,Summer,Wrestling,1
6316,Gaston Marcel Amson,M,36.0,France,1920 Summer,1920,Summer,Fencing,2
6317,Gaston Marcel Amson,M,36.0,France,1920 Summer,1920,Summer,Fencing,1
6318,Gaston Marcel Amson,M,44.0,France,1928 Summer,1928,Summer,Fencing,2
6338,Gail Amundrud (-Beattie),F,19.0,Canada,1976 Summer,1976,Summer,Swimming,1
6340,Arthur Martinius Amundsen,M,22.0,Norway,1908 Summer,1908,Summer,Gymnastics,2
6341,Arthur Martinius Amundsen,M,26.0,Norway,1912 Summer,1912,Summer,Gymnastics,1
6350,Steinar Amundsen,M,23.0,Norway,1968 Summer,1968,Summer,Canoeing,3
6351,Steinar Amundsen,M,27.0,Norway,1972 Summer,1972,Summer,Canoeing,1
6354,Emmanuel Amunike,M,25.0,Nigeria,1996 Summer,1996,Summer,Football,3
6356,Stanley Amuzie,M,20.0,Nigeria,2016 Summer,2016,Summer,Football,1
6359,"Francis ""Frank"" Amyot",M,31.0,Canada,1936 Summer,1936,Summer,Canoeing,3
6363,An Ba-Ul,M,22.0,South Korea,2016 Summer,2016,Summer,Judo,2
6364,An Byeong-Geun,M,22.0,South Korea,1984 Summer,1984,Summer,Judo,3
6375,An Dae-Hyeon,M,25.0,South Korea,1988 Summer,1988,Summer,Wrestling,1
6383,An Han-Bong,M,23.0,South Korea,1992 Summer,1992,Summer,Wrestling,3
6387,An Jae-Hyeong,M,23.0,South Korea-2,1988 Summer,1988,Summer,Table Tennis,1
6393,An Jeong-Hwa,F,27.0,South Korea,2008 Summer,2008,Summer,Handball,1
6397,An Kum-Ae,F,28.0,North Korea,2008 Summer,2008,Summer,Judo,2
6398,An Kum-Ae,F,32.0,North Korea,2012 Summer,2012,Summer,Judo,3
6405,An Sang-Mi,F,18.0,South Korea,1998 Winter,1998,Winter,Short Track Speed Skating,3
6419,Viktor An,M,20.0,South Korea,2006 Winter,2006,Winter,Short Track Speed Skating,1
6420,Viktor An,M,20.0,South Korea,2006 Winter,2006,Winter,Short Track Speed Skating,3
6421,Viktor An,M,20.0,South Korea,2006 Winter,2006,Winter,Short Track Speed Skating,3
6422,Viktor An,M,20.0,South Korea,2006 Winter,2006,Winter,Short Track Speed Skating,3
6423,Viktor An,M,28.0,Russia,2014 Winter,2014,Winter,Short Track Speed Skating,3
6424,Viktor An,M,28.0,Russia,2014 Winter,2014,Winter,Short Track Speed Skating,3
6425,Viktor An,M,28.0,Russia,2014 Winter,2014,Winter,Short Track Speed Skating,1
6426,Viktor An,M,28.0,Russia,2014 Winter,2014,Winter,Short Track Speed Skating,3
6431,An Yeong-Su,M,20.0,South Korea,1984 Summer,1984,Summer,Boxing,2
6433,An Yulong,M,19.0,China,1998 Winter,1998,Winter,Short Track Speed Skating,2
6435,An Yulong,M,19.0,China,1998 Winter,1998,Winter,Short Track Speed Skating,1
6436,An Yulong,M,23.0,China,2002 Winter,2002,Winter,Short Track Speed Skating,1
6437,An Zhongxin,F,23.0,China,1996 Summer,1996,Summer,Softball,2
6440,Ana Flvia Chritaro Daniel Sanglard,F,26.0,Brazil,1996 Summer,1996,Summer,Volleyball,1
6447,Ana Paula Rodrigues Connelly (-Rodrigues Henkel),F,24.0,Brazil,1996 Summer,1996,Summer,Volleyball,1
6466,"Douglas Thomas ""Doug"" Anakin",M,33.0,Canada-1,1964 Winter,1964,Winter,Bobsleigh,3
6476,Borislav Ananiev,M,24.0,Bulgaria,1980 Summer,1980,Summer,Canoeing,1
6482,Tatyana Vasilyevna Ananko,F,16.0,Belarus,2000 Summer,2000,Summer,Rhythmic Gymnastics,2
6497,Flavio Anastasia,M,23.0,Italy,1992 Summer,1992,Summer,Cycling,2
6517,Svetlana Anastasovski-Obuina,F,19.0,Yugoslavia,1980 Summer,1980,Summer,Handball,2
6518,Svetlana Anastasovski-Obuina,F,23.0,Yugoslavia,1984 Summer,1984,Summer,Handball,3
6535,Mario Ani,M,20.0,Croatia,2004 Summer,2004,Summer,Tennis,1
6541,"Julius Theodoor ""Jules"" Ancion",M,27.0,Netherlands,1952 Summer,1952,Summer,Hockey,2
6542,Zygmunt Jzef Anczok,M,26.0,Poland,1972 Summer,1972,Summer,Football,3
6557,milie Andol,F,28.0,France,2016 Summer,2016,Summer,Judo,3
6558,Olle Henrik Martin Anderberg,M,28.0,Sweden,1948 Summer,1948,Summer,Wrestling,2
6559,Olle Henrik Martin Anderberg,M,32.0,Sweden,1952 Summer,1952,Summer,Wrestling,3
6574,"Stefan ""Steve"" Anderhub",M,31.0,Switzerland-1,2002 Winter,2002,Winter,Bobsleigh,2
6582,"Elizabeth Rambo ""Beth"" Anders",F,32.0,United States,1984 Summer,1984,Summer,Hockey,1
6587,Aage Jrgen Christian Andersen,M,22.0,Denmark,1906 Summer,1906,Summer,Football,3
6591,Alf Steen Andersen,M,21.0,Norway,1928 Winter,1928,Winter,Ski Jumping,3
6592,Anders Peter Andersen,M,26.0,Denmark,1908 Summer,1908,Summer,Wrestling,1
6597,Anja Jul Andersen,F,27.0,Denmark,1996 Summer,1996,Summer,Handball,3
6598,Anne Dsane Andersen,F,23.0,Denmark,2016 Summer,2016,Summer,Rowing,1
6599,Anne Nymark Andersen (-Rylandsholm),F,23.0,Norway,1996 Summer,1996,Summer,Football,1
6607,Axel Sigurd Andersen,M,20.0,Denmark,1912 Summer,1912,Summer,Gymnastics,1
6612,Camilla Rseler Andersen,F,23.0,Denmark,1996 Summer,1996,Summer,Handball,3
6613,Camilla Rseler Andersen,F,27.0,Denmark,2000 Summer,2000,Summer,Handball,3
6614,Carl Andersen,M,27.0,Denmark,1906 Summer,1906,Summer,Gymnastics,2
6616,Carl Albert Andersen,M,23.0,Norway,1900 Summer,1900,Summer,Athletics,1
6618,Carl Albert Andersen,M,29.0,Norway,1906 Summer,1906,Summer,Gymnastics,3
6619,Carl Albert Andersen,M,31.0,Norway,1908 Summer,1908,Summer,Gymnastics,2
6621,Carl Rudolf Svend Andersen,M,20.0,Denmark,1920 Summer,1920,Summer,Gymnastics,3
6622,Carl-Ebbe Andersen,M,19.0,Denmark,1948 Summer,1948,Summer,Rowing,3
6642,Johan Frederik Kobberup Andersen,M,28.0,Denmark,1948 Summer,1948,Summer,Canoeing,2
6645,Frithjof Andersen,M,27.0,Norway,1920 Summer,1920,Summer,Wrestling,1
6652,"Greta Marie Andersen (-Sonnichsen, -Veress)",F,21.0,Denmark,1948 Summer,1948,Summer,Swimming,3
6654,"Greta Marie Andersen (-Sonnichsen, -Veress)",F,21.0,Denmark,1948 Summer,1948,Summer,Swimming,2
6674,Hjalmar Johan Andersen,M,28.0,Norway,1952 Winter,1952,Winter,Speed Skating,3
6675,Hjalmar Johan Andersen,M,28.0,Norway,1952 Winter,1952,Winter,Speed Skating,3
6676,Hjalmar Johan Andersen,M,28.0,Norway,1952 Winter,1952,Winter,Speed Skating,3
6679,Hjalmart Nrregaard Andersen (-Eering),M,22.0,Denmark,1912 Summer,1912,Summer,Gymnastics,1
6695,Jrgen Marius Andersen,M,26.0,Norway,1912 Summer,1912,Summer,Gymnastics,1
6696,Jrgen Marius Andersen,M,34.0,Norway,1920 Summer,1920,Summer,Gymnastics,2
6702,Kjerstin Andersen,F,29.0,Norway,1988 Summer,1988,Summer,Handball,2
6706,Kristine Andersen,F,28.0,Denmark,2004 Summer,2004,Summer,Handball,3
6711,Linda Widwey Andersen (-Cerup-Simonsen),F,23.0,Norway,1992 Summer,1992,Summer,Sailing,3
6713,Mads Christian Kruse Andersen,M,30.0,Denmark,2008 Summer,2008,Summer,Rowing,3
6714,Peter Marius Andersen,M,23.0,Denmark,1908 Summer,1908,Summer,Football,2
6721,Niels Andersen,M,44.0,Denmark,1912 Summer,1912,Summer,Shooting,1
6724,Nina Nymark Andersen (-Jakobsen),F,23.0,Norway,1996 Summer,1996,Summer,Football,1
6725,Ove Andersen,M,28.0,Finland,1928 Summer,1928,Summer,Athletics,1
6728,Peter Villemoes Andersen,M,28.0,Denmark,1912 Summer,1912,Summer,Gymnastics,2
6733,"Paul Kuhlman ""Poul"" Andersen",M,30.0,Denmark,1960 Summer,1960,Summer,Football,2
6735,Reidar Andersen,M,24.0,Norway,1936 Winter,1936,Winter,Ski Jumping,1
6748,Terje Andersen,M,27.0,Norway,1980 Winter,1980,Winter,Speed Skating,1
6752,Vigo Carl Andersen,M,21.0,Denmark,1906 Summer,1906,Summer,Football,3
6757,Grete Andersen-Waitz,F,30.0,Norway,1984 Summer,1984,Summer,Athletics,2
6759,nderson Lus de Abreu Oliveira,M,20.0,Brazil,2008 Summer,2008,Summer,Football,1
6760,Anderson de Oliveira Rodrigues,M,30.0,Brazil,2004 Summer,2004,Summer,Volleyball,3
6761,Anderson de Oliveira Rodrigues,M,34.0,Brazil,2008 Summer,2008,Summer,Volleyball,2
6763,Alyssa Jean Anderson,F,21.0,United States,2012 Summer,2012,Summer,Swimming,3
6764,Andrea Arlene Anderson (-Bolder),F,22.0,United States,2000 Summer,2000,Summer,Athletics,3
6771,Brett Franklin Anderson,M,20.0,United States,2008 Summer,2008,Summer,Baseball,1
6774,Charles Howard Anderson,M,33.0,United States,1948 Summer,1948,Summer,Equestrianism,3
6780,Craig Anthony Anderson,M,23.0,Australia,2004 Summer,2004,Summer,Baseball,2
6782,"David Rollo ""Dave"" Anderson",M,20.0,Australia,1952 Summer,1952,Summer,Rowing,1
6786,David Anderson,M,23.0,Canada,1960 Summer,1960,Summer,Rowing,2
6794,Gary Lee Anderson,M,25.0,United States,1964 Summer,1964,Summer,Shooting,3
6795,Gary Lee Anderson,M,29.0,United States,1968 Summer,1968,Summer,Shooting,3
6798,Gary John Anderson,M,24.0,New Zealand,1992 Summer,1992,Summer,Cycling,1
6807,Haley Danita Anderson,F,20.0,United States,2012 Summer,2012,Summer,Swimming,2
6812,Jamie Louise Anderson,F,23.0,United States,2014 Winter,2014,Winter,Snowboarding,3
6817,Jasey-Jay Anderson,M,34.0,Canada,2010 Winter,2010,Winter,Snowboarding,3
6827,John Franklin Anderson,M,25.0,United States,1932 Summer,1932,Summer,Athletics,3
6830,John Edward Anderson,M,33.0,Australia,1972 Summer,1972,Summer,Sailing,3
6853,"Matthew John ""Matt"" Anderson",M,29.0,United States,2016 Summer,2016,Summer,Volleyball,1
6855,Miller Altman Anderson,M,25.0,United States,1948 Summer,1948,Summer,Diving,2
6856,Miller Altman Anderson,M,29.0,United States,1952 Summer,1952,Summer,Diving,2
6862,Paul Richard Anderson,M,33.0,Great Britain,1968 Summer,1968,Summer,Sailing,1
6863,Paul Edward Anderson,M,24.0,United States,1956 Summer,1956,Summer,Weightlifting,3
6872,John Scott Anderson,M,30.0,Australia,1984 Summer,1984,Summer,Sailing,1
6876,"Stephen Eugene ""Steve"" Anderson",M,22.0,United States,1928 Summer,1928,Summer,Athletics,2
6879,"Thomas James ""Tom"" Anderson",M,33.0,Australia,1972 Summer,1972,Summer,Sailing,3
6880,"Osborne ""Ty"" Anderson",M,23.0,United States,1932 Winter,1932,Winter,Ice Hockey,2
6887,Wendell Richard Anderson,M,22.0,United States,1956 Winter,1956,Winter,Ice Hockey,2
6888,"William ""Will"" Anderson",M,,Canada,1908 Summer,1908,Summer,Cycling,1
6892,William Wallace Anderson,M,40.0,Union des Socits Franais de Sports Athletiques,1900 Summer,1900,Summer,Cricket,2
6893,William Harding Anderson,M,22.0,Great Britain,1924 Winter,1924,Winter,Ice Hockey,1
6896,"William Lloyd ""Willie"" Anderson, Jr.",M,21.0,United States,1988 Summer,1988,Summer,Basketball,1
6907,Agneta Monica Andersson,F,23.0,Sweden,1984 Summer,1984,Summer,Canoeing,3
6908,Agneta Monica Andersson,F,23.0,Sweden,1984 Summer,1984,Summer,Canoeing,3
6909,Agneta Monica Andersson,F,23.0,Sweden,1984 Summer,1984,Summer,Canoeing,2
6913,Agneta Monica Andersson,F,31.0,Sweden,1992 Summer,1992,Summer,Canoeing,2
6914,Agneta Monica Andersson,F,31.0,Sweden,1992 Summer,1992,Summer,Canoeing,1
6915,Agneta Monica Andersson,F,35.0,Sweden,1996 Summer,1996,Summer,Canoeing,3
6916,Agneta Monica Andersson,F,35.0,Sweden,1996 Summer,1996,Summer,Canoeing,1
6919,ke Gustav Andersson,M,33.0,Sweden,1952 Winter,1952,Winter,Ice Hockey,1
6920,Albert Per Andersson,M,17.0,Sweden,1920 Summer,1920,Summer,Gymnastics,3
6925,ke Anders Andersson,M,27.0,Sweden,1964 Winter,1964,Winter,Ice Hockey,2
6931,Anders Wilhelm Andersson,M,44.0,Sweden,1920 Summer,1920,Summer,Shooting,2
6933,Anna Christina Andersson,F,20.0,Sweden,2002 Winter,2002,Winter,Ice Hockey,1
6934,Karl Arvid Andersson (-Holtman),M,23.0,Sweden,1920 Summer,1920,Summer,Gymnastics,3
6935,Arvid Leander Andersson,M,30.0,Sweden,1912 Summer,1912,Summer,Tug-Of-War,3
6946,Bjarne Lennart Andersson,M,27.0,Sweden,1968 Winter,1968,Winter,Cross Country Skiing,2
6952,Cecilia Christine Elisabeth Andersson,F,23.0,Sweden,2006 Winter,2006,Winter,Ice Hockey,2
6965,Klas Erik Andersson,M,24.0,Sweden,1920 Summer,1920,Summer,Water Polo,1
6973,Frank ivind Stefan Andersson,M,28.0,Sweden,1984 Summer,1984,Summer,Wrestling,1
6978,Erik Gsta Andersson,M,31.0,Sweden,1948 Summer,1948,Summer,Wrestling,3
6979,Erik Gsta Andersson,M,35.0,Sweden,1952 Summer,1952,Summer,Wrestling,2
6982,Gunilla Victoria Andersson,F,26.0,Sweden,2002 Winter,2002,Winter,Ice Hockey,1
6983,Gunilla Victoria Andersson,F,30.0,Sweden,2006 Winter,2006,Winter,Ice Hockey,2
6996,Svensk Hjalmar Zakeus Andersson,M,22.0,Sweden,1912 Summer,1912,Summer,Athletics,2
6997,Svensk Hjalmar Zakeus Andersson,M,22.0,Sweden,1912 Summer,1912,Summer,Athletics,3
7014,Jonna Andersson,F,23.0,Sweden,2016 Summer,2016,Summer,Football,2
7020,Kim Verner Andersson,M,29.0,Sweden,2012 Summer,2012,Summer,Handball,2
7042,Bo Leif Andersson,M,30.0,Sweden,1992 Winter,1992,Winter,Biathlon,1
7060,Lina Marie Andersson,F,24.0,Sweden,2006 Winter,2006,Winter,Cross Country Skiing,3
7068,Per Magnus Andersson,M,26.0,Sweden,1992 Summer,1992,Summer,Handball,2
7069,Per Magnus Andersson,M,30.0,Sweden,1996 Summer,1996,Summer,Handball,2
7070,Per Magnus Andersson,M,34.0,Sweden,2000 Summer,2000,Summer,Handball,2
7077,Erik Mattias Andersson,M,34.0,Sweden,2012 Summer,2012,Summer,Handball,2
7079,Olof Mauritz Andersson,M,21.0,Sweden,1908 Summer,1908,Summer,Wrestling,2
7088,Bo Mikael Andersson,M,28.0,Sweden,1988 Winter,1988,Winter,Ice Hockey,1
7104,Nils Peter Andersson,M,25.0,Sweden,1988 Winter,1988,Winter,Ice Hockey,1
7106,Ramon Dean Andersson,M,29.0,Australia,1992 Summer,1992,Summer,Canoeing,1
7111,Robert Theodor Andersson,M,21.0,Sweden,1908 Summer,1908,Summer,Water Polo,1
7115,Robert Theodor Andersson,M,25.0,Sweden,1912 Summer,1912,Summer,Water Polo,2
7118,Robert Theodor Andersson,M,33.0,Sweden,1920 Summer,1920,Summer,Water Polo,1
7120,Robert Andersson,M,22.0,Sweden,1992 Summer,1992,Summer,Handball,2
7121,Robert Andersson,M,26.0,Sweden,1996 Summer,1996,Summer,Handball,2
7131,Karl Sigurd Andersson,M,25.0,Sweden,1952 Winter,1952,Winter,Cross Country Skiing,1
7135,Carl Sture Mikael Andersson,M,30.0,Sweden,1980 Winter,1980,Winter,Ice Hockey,1
7136,Sune Isidor Andersson,M,27.0,Sweden,1948 Summer,1948,Summer,Football,3
7140,Thure Elof Andersson,M,29.0,Sweden,1936 Summer,1936,Summer,Wrestling,2
7144,Karl Volger Andersson,M,32.0,Sweden,1928 Winter,1928,Winter,Cross Country Skiing,1
7147,"Kletus Vilhelm ""Wille"" Andersson",M,21.0,Sweden,1912 Summer,1912,Summer,Water Polo,2
7149,"Kletus Vilhelm ""Wille"" Andersson",M,29.0,Sweden,1920 Summer,1920,Summer,Water Polo,1
7151,Hans Lennart Andersson-Tvilling,M,23.0,Sweden,1952 Winter,1952,Winter,Ice Hockey,1
7153,Stig Gunnar Andersson-Tvilling,M,23.0,Sweden,1952 Winter,1952,Winter,Ice Hockey,1
7167,Carola Anding (-Jacob),F,19.0,East Germany,1980 Winter,1980,Winter,Cross Country Skiing,3
7173,Soslan Petrovich Andiyev,M,24.0,Soviet Union,1976 Summer,1976,Summer,Wrestling,3
7174,Soslan Petrovich Andiyev,M,28.0,Soviet Union,1980 Summer,1980,Summer,Wrestling,3
7183,Kenkichi Ando,M,26.0,Japan,1976 Summer,1976,Summer,Weightlifting,1
7186,Kozue Ando,F,30.0,Japan,2012 Summer,2012,Summer,Football,2
7192,Misako Ando,F,29.0,Japan,2000 Summer,2000,Summer,Softball,2
7195,Yuya Ando,M,26.0,Japan,2004 Summer,2004,Summer,Baseball,1
7207,Manuel ngel Andrada,M,46.0,Argentina,1936 Summer,1936,Summer,Polo,3
7208,Jorge Luiz Andrade da Silva,M,31.0,Brazil,1988 Summer,1988,Summer,Football,2
7222,Jos Leandro Andrade,M,22.0,Uruguay,1924 Summer,1924,Summer,Football,3
7223,Jos Leandro Andrade,M,26.0,Uruguay,1928 Summer,1928,Summer,Football,3
7244,Andr Luiz Moreira,M,21.0,Brazil,1996 Summer,1996,Summer,Football,1
7247,"William Jules ""Bill"" Andre",M,25.0,United States,1956 Summer,1956,Summer,Modern Pentathlon,2
7251,"Georges Ivan ""Go"" Andr (Monnard-)",M,18.0,France,1908 Summer,1908,Summer,Athletics,2
7261,"Georges Ivan ""Go"" Andr (Monnard-)",M,30.0,France,1920 Summer,1920,Summer,Athletics,1
7263,Georges Jules Andr,M,47.0,France,1924 Winter,1924,Winter,Curling,1
7276,Andr Lus dos Santos Ferreira,M,24.0,Brazil,1984 Summer,1984,Summer,Football,2
7294,Larry Edwin Andreasen,M,18.0,United States,1964 Summer,1964,Summer,Diving,1
7300,Gunn Margit Aas Andreassen,F,24.0,Norway,1998 Winter,1998,Winter,Biathlon,1
7304,Gunn Margit Aas Andreassen,F,28.0,Norway,2002 Winter,2002,Winter,Biathlon,2
7309,Rolf Siljan Andreassen,M,27.0,Norway,1976 Summer,1976,Summer,Rowing,2
7316,Alessandro Andrei,M,25.0,Italy,1984 Summer,1984,Summer,Athletics,3
7324,Vasile Andrei,M,24.0,Romania,1980 Summer,1980,Summer,Wrestling,1
7325,Vasile Andrei,M,29.0,Romania,1984 Summer,1984,Summer,Wrestling,3
7329,Andria Suntaque,F,26.0,Brazil,2004 Summer,2004,Summer,Football,2
7330,Andria Suntaque,F,30.0,Brazil,2008 Summer,2008,Summer,Football,2
7342,Arnaldo Andreoli,M,26.0,Italy,1920 Summer,1920,Summer,Gymnastics,3
7344,Severino Andreoli,M,23.0,Italy,1964 Summer,1964,Summer,Cycling,2
7345,"Giannin ""Gian"" Andreossi",M,25.0,Switzerland,1928 Winter,1928,Winter,Ice Hockey,1
7346,"Munrezzan ""Mezzi"" Andreossi",M,30.0,Switzerland,1928 Winter,1928,Winter,Ice Hockey,1
7353,Ioannis Andreou,M,,Greece,1896 Summer,1896,Summer,Swimming,2
7358,Dominic Andres,M,25.0,Switzerland,1998 Winter,1998,Winter,Curling,3
7361,Cyril Romain Andresen,M,26.0,Tip,1956 Summer,1956,Summer,Sailing,2
7362,Frode Andresen,M,24.0,Norway,1998 Winter,1998,Winter,Biathlon,2
7367,Frode Andresen,M,28.0,Norway,2002 Winter,2002,Winter,Biathlon,3
7368,Frode Andresen,M,32.0,Norway,2006 Winter,2006,Winter,Biathlon,1
7411,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,Australia,1960 Summer,1960,Summer,Swimming,1
7412,"Janice ""Jan"" Andrew (-Thornett)",F,16.0,Australia,1960 Summer,1960,Summer,Swimming,2
7423,Arthur Fleming Andrews,M,27.0,United States,1904 Summer,1904,Summer,Cycling,1
7424,Arthur Fleming Andrews,M,27.0,United States,1904 Summer,1904,Summer,Cycling,2
7434,Scott Andrews,M,24.0,Great Britain,2014 Winter,2014,Winter,Curling,2
7436,"Michelle ""Shelley"" Andrews (-Mitchell)",F,24.0,Australia,1996 Summer,1996,Summer,Hockey,3
7440,Theresa Andrews,F,21.0,United States,1984 Summer,1984,Summer,Swimming,3
7441,Theresa Andrews,F,21.0,United States,1984 Summer,1984,Summer,Swimming,3
7444,"Walter Emanuel ""Walt"" Andrews",M,27.0,Canada,1908 Summer,1908,Summer,Cycling,1
7449,Boris Vasilyevich Andreyev,M,46.0,Soviet Union,1952 Summer,1952,Summer,Shooting,1
7450,Boris Vasilyevich Andreyev,M,46.0,Soviet Union,1952 Summer,1952,Summer,Shooting,2
7462,Sergey Vasilyevich Andreyev,M,24.0,Soviet Union,1980 Summer,1980,Summer,Football,1
7467,Vladimir Georgiyevich Andreyev,M,23.0,Soviet Union,1968 Summer,1968,Summer,Basketball,1
7478,Vladimir Vasilyevich Andreyev,M,34.0,Russia,2000 Summer,2000,Summer,Athletics,1
7495,Yelena Valentinovna Andreyuk (-Chesnokova),F,21.0,Soviet Union,1980 Summer,1980,Summer,Volleyball,3
7498,Nikolaos Andriakopoulos,M,,Greece,1896 Summer,1896,Summer,Gymnastics,3
7511,Nikolay Yefimovich Andrianov,M,19.0,Soviet Union,1972 Summer,1972,Summer,Gymnastics,2
7512,Nikolay Yefimovich Andrianov,M,19.0,Soviet Union,1972 Summer,1972,Summer,Gymnastics,3
7513,Nikolay Yefimovich Andrianov,M,19.0,Soviet Union,1972 Summer,1972,Summer,Gymnastics,1
7518,Nikolay Yefimovich Andrianov,M,23.0,Soviet Union,1976 Summer,1976,Summer,Gymnastics,3
